index,Age,Sex,Job,Housing,Saving accounts,Credit amount,Duration,Purpose,Risk
1,22,female,2,own,little,5951,48,radio/TV,bad
2,49,male,1,own,little,2096,12,education,good
3,45,male,2,free,little,7882,42,furniture/equipment,good
4,53,male,2,free,little,4870,24,car,bad
6,53,male,2,own,quite rich,2835,24,furniture/equipment,good
7,35,male,3,rent,little,6948,36,car,good
8,61,male,1,own,rich,3059,12,radio/TV,good
9,28,male,3,own,little,5234,30,car,bad
10,25,female,2,rent,little,1295,12,car,bad
11,24,female,2,rent,little,4308,48,business,bad
12,22,female,2,own,little,1567,12,radio/TV,good
13,60,male,1,own,little,1199,24,car,bad
14,28,female,2,rent,little,1403,15,car,good
15,32,female,1,own,moderate,1282,24,radio/TV,bad
18,44,female,3,free,little,12579,24,car,bad
19,31,male,2,own,quite rich,3430,24,radio/TV,good
20,48,male,2,own,little,2134,9,car,good
21,44,male,2,rent,quite rich,2647,6,radio/TV,good
22,48,male,1,rent,little,2241,10,car,good
23,44,male,2,own,moderate,1804,12,car,good
25,36,male,1,own,little,1374,6,furniture/equipment,good
26,39,male,1,own,little,426,6,radio/TV,good
27,42,female,2,rent,rich,409,12,radio/TV,good
28,34,male,2,own,little,2415,7,radio/TV,good
29,63,male,2,own,little,6836,60,business,bad
30,36,male,2,own,rich,1913,18,business,good
31,27,male,2,own,little,4020,24,furniture/equipment,good
32,30,male,2,own,moderate,5866,18,car,good
34,33,female,3,own,little,1474,12,furniture/equipment,good
35,25,male,1,own,little,4746,45,radio/TV,bad
36,31,male,2,free,little,6110,48,education,good
37,37,male,2,own,little,2100,18,radio/TV,bad
38,37,male,2,own,little,1225,10,domestic appliances,good
39,24,male,2,own,little,458,9,radio/TV,good
40,30,male,3,own,quite rich,2333,30,radio/TV,good
41,26,male,2,own,quite rich,1158,12,radio/TV,good
42,44,male,1,own,little,6204,18,repairs,good
43,24,male,2,rent,moderate,6187,30,car,good
44,58,female,1,free,little,6143,48,car,bad
45,35,female,3,own,little,1393,11,car,good
46,39,male,2,own,quite rich,2299,36,radio/TV,good
47,23,female,0,rent,quite rich,1352,6,car,good
48,39,male,1,own,little,7228,11,car,good
49,28,female,2,own,moderate,2073,12,radio/TV,good
51,30,male,3,own,little,5965,27,car,good
52,25,male,2,own,little,1262,12,radio/TV,good
54,57,male,2,free,little,2225,36,car,bad
57,31,female,2,own,little,9566,36,radio/TV,good
58,23,female,3,own,little,1961,18,car,good
59,23,female,1,rent,little,6229,36,furniture/equipment,bad
60,27,male,2,own,little,1391,9,business,good
62,61,male,3,free,little,1953,36,business,bad
63,25,male,2,own,little,14421,48,business,bad
64,26,female,2,own,little,3181,24,radio/TV,good
66,29,female,2,own,little,2171,12,radio/TV,good
67,22,male,2,own,rich,1007,12,car,good
68,37,male,2,free,little,1819,36,education,bad
70,30,female,2,own,little,8133,36,car,good
72,51,male,3,free,little,1164,8,vacation/others,good
73,41,female,1,own,little,5954,42,business,good
75,66,male,3,free,little,1526,12,car,good
76,34,male,2,own,little,3965,42,radio/TV,bad
77,51,male,2,own,little,4771,11,radio/TV,good
79,22,male,2,own,little,3832,30,furniture/equipment,good
81,47,male,2,own,quite rich,1213,15,radio/TV,good
82,24,female,1,rent,moderate,1568,18,business,good
83,58,female,1,own,little,1755,24,vacation/others,good
84,52,male,1,own,little,2315,10,radio/TV,good
85,29,female,3,own,little,1412,12,business,good
86,27,female,2,own,little,1295,18,furniture/equipment,good
87,47,male,2,free,moderate,12612,36,education,bad
88,30,male,3,own,moderate,2249,18,car,good
89,28,male,2,own,little,1108,12,repairs,bad
90,56,male,2,own,little,618,12,radio/TV,good
91,54,male,2,own,little,1409,12,car,good
94,54,male,2,own,rich,1318,12,car,good
95,58,male,2,rent,little,15945,54,business,bad
97,34,male,2,own,moderate,2622,18,business,good
98,36,male,2,own,little,2337,36,radio/TV,good
100,41,male,1,rent,moderate,1469,24,car,good
101,24,male,2,rent,little,2323,36,radio/TV,good
102,24,female,2,own,little,932,6,radio/TV,good
103,35,male,2,rent,little,1919,9,furniture/equipment,good
105,39,male,3,own,little,11938,24,vacation/others,bad
106,39,male,3,own,little,6458,18,car,bad
107,32,male,2,own,little,6078,12,car,good
109,35,male,2,own,quite rich,1410,14,business,good
110,31,male,2,own,moderate,1449,6,business,good
111,23,female,2,rent,little,392,15,education,good
112,28,male,1,rent,little,6260,18,car,good
113,25,female,2,own,little,7855,36,car,bad
114,35,male,2,own,quite rich,1680,12,radio/TV,good
118,23,female,2,own,quite rich,4281,33,furniture/equipment,bad
119,36,male,3,own,quite rich,2366,12,car,good
120,25,female,2,own,little,1835,21,radio/TV,bad
121,41,female,3,rent,little,3868,24,car,good
122,24,male,1,rent,little,1768,12,furniture/equipment,good
123,63,male,2,free,little,781,10,car,good
125,30,male,2,own,little,2121,12,car,good
126,40,male,1,own,little,701,12,radio/TV,good
127,30,male,2,own,little,639,12,repairs,bad
128,34,male,3,own,little,1860,12,car,good
129,29,female,2,own,little,3499,12,car,bad
131,29,male,2,own,little,6887,36,education,bad
132,27,male,1,own,little,2708,15,furniture/equipment,good
133,47,male,2,free,little,1984,18,furniture/equipment,good
134,21,female,2,own,moderate,10144,60,radio/TV,good
136,27,male,2,own,rich,8613,27,car,good
137,66,male,1,own,quite rich,766,12,radio/TV,bad
139,44,female,1,rent,little,1881,12,radio/TV,good
140,27,male,0,own,rich,709,6,car,good
141,30,female,3,own,little,4795,36,radio/TV,good
142,27,male,3,own,little,3416,27,radio/TV,good
143,22,male,2,own,little,2462,18,furniture/equipment,bad
144,23,female,2,own,little,2288,21,furniture/equipment,good
145,30,male,2,own,moderate,3566,48,business,good
146,39,female,2,own,little,860,6,car,good
147,51,female,2,own,moderate,682,12,car,good
148,28,male,2,own,little,5371,36,furniture/equipment,good
149,46,male,2,own,rich,1582,18,radio/TV,good
150,42,male,2,free,moderate,1346,6,radio/TV,good
151,38,male,2,own,little,1924,10,radio/TV,good
152,24,male,2,own,little,5848,36,radio/TV,good
153,29,female,2,rent,rich,7758,24,car,good
154,36,male,3,rent,moderate,6967,24,business,good
155,20,female,2,rent,little,1282,12,furniture/equipment,bad
156,48,male,2,own,moderate,1288,9,repairs,good
157,45,male,1,own,little,339,12,education,good
158,38,male,2,own,moderate,3512,24,car,good
160,36,male,2,own,moderate,2872,24,radio/TV,good
161,30,female,2,own,little,1055,18,car,good
162,36,male,2,own,quite rich,1262,15,domestic appliances,good
163,70,male,3,free,little,7308,10,car,good
164,36,male,2,own,quite rich,909,36,car,good
165,32,male,2,own,quite rich,2978,6,furniture/equipment,good
166,33,female,2,own,little,1131,18,furniture/equipment,bad
167,20,female,2,own,rich,1577,11,furniture/equipment,good
168,25,female,2,rent,little,3972,24,furniture/equipment,good
169,31,male,2,own,little,1935,24,business,bad
170,33,male,2,rent,little,950,15,car,bad
171,26,female,2,own,little,763,12,furniture/equipment,good
172,34,female,3,own,little,2064,24,furniture/equipment,bad
173,33,male,2,own,little,1414,8,radio/TV,good
174,26,male,2,own,little,3414,21,education,bad
176,42,male,2,own,little,2577,12,furniture/equipment,good
177,52,male,2,own,quite rich,338,6,radio/TV,good
178,31,male,3,rent,little,1963,12,radio/TV,good
179,65,male,2,own,little,571,21,car,good
180,28,male,2,own,little,9572,36,business,bad
181,30,male,3,own,little,4455,36,business,bad
183,50,male,2,own,rich,3777,24,furniture/equipment,good
184,36,male,2,own,little,884,18,car,bad
185,31,male,2,own,little,1360,15,radio/TV,good
186,74,female,3,free,little,5129,9,car,bad
187,68,male,0,free,little,1175,16,car,good
188,20,male,2,own,moderate,674,12,radio/TV,bad
189,33,female,2,own,little,3244,18,furniture/equipment,good
190,54,male,3,own,rich,4591,24,business,bad
191,34,male,1,free,moderate,3844,48,business,bad
192,36,male,2,own,little,3915,27,business,bad
193,29,male,2,rent,little,2108,6,radio/TV,good
194,21,male,2,rent,moderate,3031,45,radio/TV,bad
195,34,female,3,own,little,1501,9,education,bad
196,28,female,2,own,little,1382,6,radio/TV,good
197,27,female,2,rent,moderate,951,12,furniture/equipment,bad
199,40,male,3,own,little,4297,18,furniture/equipment,bad
200,52,male,2,own,quite rich,936,9,education,good
201,27,male,1,own,little,1168,12,car,good
202,26,male,2,own,little,5117,27,business,good
203,21,male,2,rent,little,902,12,education,bad
204,38,male,1,own,little,1495,12,car,good
205,38,male,3,free,little,10623,30,car,good
206,43,male,2,own,little,1935,12,furniture/equipment,good
207,26,male,2,own,little,1424,12,domestic appliances,good
208,21,male,1,own,little,6568,24,business,good
209,55,male,2,own,rich,1413,12,car,good
212,50,male,2,own,little,5293,27,business,bad
213,66,male,3,own,little,1908,30,business,bad
216,31,male,2,own,little,3104,18,business,good
217,23,male,2,own,little,3913,36,radio/TV,good
218,24,male,1,rent,little,3021,24,furniture/equipment,good
219,64,female,2,own,little,1364,10,car,good
220,26,male,1,own,little,625,12,radio/TV,good
222,30,male,2,own,little,707,12,radio/TV,good
224,30,male,2,own,little,4657,15,car,good
225,27,male,2,own,little,2613,36,repairs,good
226,27,male,2,own,rich,10961,48,radio/TV,bad
227,53,male,3,free,little,7865,12,furniture/equipment,bad
228,22,male,2,own,little,1478,9,radio/TV,bad
229,22,male,2,free,little,3149,24,furniture/equipment,good
230,26,male,2,own,little,4210,36,radio/TV,bad
231,51,male,1,free,quite rich,2507,9,car,good
232,35,male,2,own,moderate,2141,12,radio/TV,good
233,25,male,1,own,little,866,18,radio/TV,good
234,42,male,1,own,little,1544,4,radio/TV,good
235,30,male,3,own,little,1823,24,radio/TV,bad
237,61,male,1,rent,moderate,2767,21,business,bad
238,35,female,2,own,little,1291,12,radio/TV,good
239,39,male,2,own,little,2522,30,radio/TV,good
241,51,male,2,own,little,1595,6,radio/TV,good
242,24,male,2,free,little,4605,48,car,bad
243,27,female,2,own,little,1185,12,business,good
244,35,female,1,own,quite rich,3447,12,education,good
245,25,male,2,own,little,1258,24,business,good
246,52,male,2,own,little,717,12,radio/TV,good
247,35,male,2,rent,moderate,1204,6,car,good
248,26,male,2,own,little,1925,24,furniture/equipment,good
249,22,female,2,rent,little,433,18,radio/TV,bad
250,39,female,1,own,rich,666,6,car,good
251,46,female,1,own,little,2251,12,furniture/equipment,good
252,24,female,2,own,little,2150,30,car,bad
253,35,male,2,own,moderate,4151,24,furniture/equipment,good
256,35,male,1,own,little,2684,24,radio/TV,good
257,29,male,2,free,little,2149,12,radio/TV,bad
258,23,female,2,own,moderate,3812,15,car,good
259,57,female,1,own,moderate,1154,11,radio/TV,good
260,27,male,2,own,little,1657,12,furniture/equipment,good
261,55,female,2,own,little,1603,24,radio/TV,good
262,36,male,3,free,little,5302,18,car,good
263,57,female,1,free,little,2748,12,education,good
264,32,male,1,own,little,1231,10,car,good
265,37,male,2,own,little,802,15,radio/TV,bad
267,38,female,2,own,little,1533,24,radio/TV,good
268,45,male,3,own,little,8978,14,car,bad
271,37,female,2,rent,quite rich,1402,12,furniture/equipment,good
273,28,male,2,own,little,3060,48,radio/TV,bad
274,34,male,1,own,little,11998,30,repairs,bad
275,32,male,2,own,little,2697,9,radio/TV,good
276,26,female,2,own,little,2404,18,radio/TV,good
278,32,female,2,own,little,4611,6,furniture/equipment,bad
279,29,male,3,rent,moderate,1901,24,radio/TV,good
280,23,male,2,rent,rich,3368,15,car,good
281,50,male,2,own,little,1574,12,furniture/equipment,good
284,37,male,2,own,moderate,3878,24,car,good
285,35,female,1,own,little,10722,47,car,good
286,26,male,2,own,little,4788,48,car,good
287,31,male,3,free,moderate,7582,48,vacation/others,good
288,49,female,2,own,little,1092,12,radio/TV,good
289,48,male,2,own,little,1024,24,radio/TV,bad
290,26,male,2,own,little,1076,12,business,good
291,28,male,3,rent,little,9398,36,car,bad
292,44,female,3,free,little,6419,24,car,good
293,56,male,2,free,little,4796,42,car,good
295,26,female,2,own,little,9960,48,furniture/equipment,bad
298,43,male,2,own,little,2515,18,furniture/equipment,good
299,32,male,2,own,rich,2745,21,furniture/equipment,good
300,54,female,0,own,little,672,6,car,good
301,42,female,2,own,little,3804,36,radio/TV,bad
303,49,male,2,own,little,1038,10,car,good
304,44,male,2,free,quite rich,10127,48,car,bad
305,33,male,2,own,rich,1543,6,furniture/equipment,good
307,33,male,1,own,moderate,727,12,radio/TV,bad
308,24,female,2,own,little,1237,8,furniture/equipment,bad
309,22,male,1,rent,little,276,9,car,good
311,25,male,2,own,moderate,5511,24,furniture/equipment,good
312,26,female,2,own,little,3749,24,furniture/equipment,good
313,25,male,1,own,little,685,12,car,bad
315,31,male,2,own,little,2746,36,furniture/equipment,bad
316,38,male,1,own,little,708,12,furniture/equipment,good
318,32,male,2,own,little,701,12,education,good
319,27,female,1,own,little,3643,15,furniture/equipment,good
320,28,male,3,own,little,4249,30,car,bad
321,32,male,2,own,little,1938,24,radio/TV,bad
322,34,male,3,free,little,2910,24,car,good
323,28,male,2,own,rich,2659,18,furniture/equipment,good
324,36,female,2,own,little,1028,18,car,good
325,39,male,1,own,little,3398,8,car,good
327,34,female,2,own,rich,1525,24,car,good
328,31,male,2,own,little,4473,36,radio/TV,good
329,28,male,2,own,little,1068,6,radio/TV,good
330,75,male,3,free,little,6615,24,car,good
331,30,female,2,own,moderate,1864,18,education,bad
332,24,female,3,own,moderate,7408,60,car,bad
333,24,female,1,rent,moderate,11590,48,car,bad
334,23,male,2,rent,little,4110,24,furniture/equipment,bad
335,44,male,3,rent,little,3384,6,furniture/equipment,bad
336,23,female,1,own,little,2101,13,radio/TV,good
338,28,male,2,own,little,4169,24,furniture/equipment,good
339,31,male,1,own,little,1521,10,furniture/equipment,good
340,24,female,2,free,little,5743,24,education,good
341,26,female,1,rent,little,3599,21,furniture/equipment,good
342,25,male,2,rent,quite rich,3213,18,radio/TV,good
343,33,male,3,own,little,4439,18,business,good
344,37,male,1,own,little,3949,10,car,good
345,43,female,1,own,little,1459,15,radio/TV,good
346,23,male,2,own,little,882,13,radio/TV,good
347,23,female,0,rent,quite rich,3758,24,radio/TV,good
348,34,male,1,own,moderate,1743,6,business,good
349,32,male,2,free,rich,1136,9,education,bad
350,23,female,2,rent,little,1236,9,domestic appliances,good
351,29,female,2,own,little,959,9,furniture/equipment,bad
353,28,male,2,rent,little,6199,12,radio/TV,bad
354,46,male,2,free,quite rich,727,10,education,good
355,23,male,1,own,little,1246,24,car,bad
357,26,male,3,own,little,4463,36,radio/TV,bad
358,28,male,2,own,little,776,12,radio/TV,good
359,23,female,2,rent,little,2406,30,furniture/equipment,bad
362,36,female,2,own,little,2247,12,car,good
363,21,male,2,rent,little,1766,6,furniture/equipment,good
364,25,male,0,own,little,2473,18,furniture/equipment,bad
365,36,male,2,own,little,1542,12,business,good
366,27,male,2,own,little,3850,18,car,good
367,22,female,2,rent,little,3650,18,furniture/equipment,good
368,42,male,2,own,little,3446,36,furniture/equipment,bad
369,40,female,2,rent,little,3001,18,furniture/equipment,good
371,33,male,2,own,little,6070,18,radio/TV,good
372,23,female,2,rent,little,2146,10,furniture/equipment,good
374,60,female,3,free,moderate,14782,60,vacation/others,bad
375,37,female,2,rent,little,7685,48,business,bad
376,34,male,2,own,little,2320,18,radio/TV,good
378,57,male,3,free,little,14318,36,car,bad
379,52,female,1,own,moderate,362,6,car,good
381,38,female,3,free,little,12976,18,car,bad
383,26,male,2,own,little,1330,12,car,good
384,26,male,1,own,moderate,4272,30,business,good
385,25,female,2,own,little,2238,18,radio/TV,good
387,40,male,3,own,little,7374,18,furniture/equipment,good
388,27,male,2,own,quite rich,2326,15,business,good
389,27,female,2,own,little,1449,9,business,good
390,30,male,3,own,little,1820,18,car,good
391,19,female,1,rent,rich,983,12,furniture/equipment,good
392,39,male,3,free,little,3249,36,car,good
393,31,female,2,own,little,1957,6,radio/TV,good
394,31,male,3,own,little,2406,9,furniture/equipment,good
395,32,male,2,rent,moderate,11760,39,education,good
396,55,female,3,free,little,2578,12,furniture/equipment,good
397,46,male,2,own,little,2348,36,furniture/equipment,good
398,46,male,2,rent,little,1223,12,car,bad
399,43,female,1,own,rich,1516,24,radio/TV,good
400,39,male,2,own,little,1473,18,radio/TV,good
402,27,male,2,own,little,8648,24,business,bad
403,27,male,1,own,little,802,14,car,good
405,22,male,2,own,little,2039,24,radio/TV,bad
407,27,male,2,own,little,1053,15,radio/TV,good
408,26,male,3,own,quite rich,3235,24,radio/TV,good
409,28,male,2,own,quite rich,939,12,car,bad
410,20,female,2,own,little,1967,24,radio/TV,good
411,35,male,3,own,little,7253,33,car,good
412,42,male,3,own,little,2292,12,business,bad
413,40,male,1,rent,quite rich,1597,10,car,good
415,35,male,2,own,little,5842,36,car,good
416,33,male,1,own,little,2579,12,car,bad
418,31,female,3,own,quite rich,2782,21,car,good
420,20,female,2,rent,rich,3186,15,car,good
422,47,male,1,own,little,958,12,car,good
423,34,male,3,own,moderate,1591,21,furniture/equipment,good
425,21,male,2,rent,little,2779,18,car,good
426,29,male,2,own,little,2743,28,radio/TV,good
427,46,male,2,own,rich,1149,18,radio/TV,good
428,20,male,2,own,little,1313,9,furniture/equipment,good
429,55,female,0,free,little,1190,18,repairs,bad
430,74,male,1,own,little,3448,5,business,good
431,29,male,3,own,little,11328,24,vacation/others,bad
432,36,male,3,free,little,1872,6,furniture/equipment,good
433,33,male,2,own,little,2058,24,repairs,good
434,25,male,2,own,little,2136,9,furniture/equipment,good
436,23,male,1,rent,quite rich,660,6,repairs,good
437,37,female,2,own,rich,1287,24,car,good
438,65,male,0,own,little,3394,42,repairs,good
439,26,female,0,own,little,609,12,business,bad
440,39,male,3,own,little,1884,12,car,good
441,30,female,2,own,little,1620,12,furniture/equipment,good
442,29,male,2,own,little,2629,20,vacation/others,good
443,41,male,1,own,little,719,12,education,bad
444,30,female,3,own,little,5096,48,furniture/equipment,bad
446,34,female,2,own,little,1842,36,car,bad
447,35,male,2,own,little,2576,7,radio/TV,good
449,61,male,2,own,rich,1512,15,repairs,bad
451,29,female,2,own,little,518,6,radio/TV,good
452,34,male,2,own,little,2759,12,furniture/equipment,good
453,35,male,3,own,little,2670,24,car,good
454,31,male,2,own,little,4817,24,car,bad
455,29,female,3,own,little,2679,24,car,good
456,36,male,2,rent,little,3905,11,car,good
457,35,male,2,free,little,3386,12,car,bad
458,27,female,2,own,little,343,6,domestic appliances,good
459,32,male,2,own,little,4594,18,radio/TV,good
460,37,male,2,own,little,3620,36,furniture/equipment,good
461,36,male,2,own,little,1721,15,car,good
462,34,female,3,rent,little,3017,12,furniture/equipment,good
464,34,male,2,own,little,1950,18,business,good
465,63,male,2,own,little,2924,24,car,good
466,29,female,1,rent,little,1659,24,radio/TV,bad
468,26,female,2,own,little,2764,33,business,good
469,35,male,1,own,little,4679,24,car,good
470,22,male,2,rent,moderate,3092,24,radio/TV,bad
471,23,female,2,own,little,448,6,education,bad
472,28,male,1,own,little,654,9,car,bad
474,33,male,2,own,little,1245,18,radio/TV,bad
475,26,female,2,rent,little,3114,18,furniture/equipment,bad
476,24,male,2,own,quite rich,2569,39,car,good
477,25,male,2,own,little,5152,24,radio/TV,good
478,39,male,1,own,moderate,1037,12,business,good
479,44,male,2,own,little,1478,15,furniture/equipment,good
480,23,female,1,own,little,3573,12,radio/TV,good
481,26,male,2,own,little,1201,24,car,good
482,57,female,2,rent,rich,3622,30,furniture/equipment,good
483,30,female,2,own,rich,960,15,furniture/equipment,good
484,44,male,2,own,quite rich,1163,12,car,good
485,47,male,3,own,little,1209,6,car,bad
486,52,male,2,own,little,3077,12,radio/TV,good
487,62,female,2,free,little,3757,24,car,good
488,35,male,1,rent,moderate,1418,10,car,good
489,26,male,2,rent,little,3518,6,car,good
490,26,male,2,own,little,1934,12,radio/TV,good
491,42,female,3,free,little,8318,27,business,bad
492,27,female,2,own,moderate,1237,6,radio/TV,good
